Crop,Agent,khy1_ratio,khy2_ratio,rby1_ratio,rby2_ratio
Rice2,84613,0,-3.674274628,0,-4.389415573
Rice2,84646,0,-1.767993456,0,-1.021886991
SugarAdsali,10100,0.143463307,0.874791486,1,0
SugarAdsali,10200,-0.174838808,0.803608676,1,0
SugarAdsali,10214,-0.367558341,0.908012515,1,0
SugarAdsali,10226,0.250677421,0.897181251,1,0
SugarAdsali,10240,0.124355793,0.775285435,1,0
SugarAdsali,10300,0.14581588,0.810047507,1,0
SugarAdsali,10400,0.493289843,0.892611411,1,0
SugarAdsali,10410,0.455956327,0.896804049,1,0
SugarAdsali,10426,0.549375465,0.94672034,1,0
SugarAdsali,10500,0.713842121,0.943576094,1,0
SugarAdsali,10600,0.246028686,0.82158581,1,0
SugarAdsali,10614,-0.106828314,0.903802095,1,0
SugarAdsali,10626,0.311681493,0.894283618,1,0
SugarAdsali,10650,0.267395524,0.899915936,1,0
SugarAdsali,20700,0.351821343,0.867828381,1,0
SugarAdsali,20718,0.509081026,0.980911707,1,0
SugarAdsali,20729,0.295677315,0.614903716,1,0
SugarAdsali,20740,-0.068186631,0.931474897,1,0
SugarAdsali,20800,0.580057722,0.936838029,1,0
SugarAdsali,30900,0.74735043,0.843932651,1,0
SugarAdsali,31000,0.182074431,0.755138516,1,0
SugarAdsali,31023,-0.639277461,0.828173305,1,0
SugarAdsali,31046,0.032567858,0.761806884,1,0
SugarAdsali,41100,0.360957406,0.922007616,1,0
SugarAdsali,41200,0.698828328,0.934940909,1,0
SugarAdsali,41300,0.415991118,0.94832517,1,0
SugarAdsali,41400,-0.05182279,0.859495024,1,0
SugarAdsali,41403,-0.161285658,0.625269008,1,0
SugarAdsali,41408,0.573666897,0.898348592,1,0
SugarAdsali,41422,0.41316206,0.924713593,1,0
SugarAdsali,41436,0.395786194,0.921311889,1,0
SugarAdsali,41441,-0.065024758,0.890446909,1,0
SugarAdsali,41500,0.155312047,0.776866997,1,0
SugarAdsali,41516,0.276965358,0.553007624,1,0
SugarAdsali,41539,-0.191194372,0.732500937,1,0
SugarAdsali,41626,0.606793542,0.999199649,1,0
SugarAdsali,51600,0.61372396,0.99853388,1,0
SugarAdsali,51610,0.673484225,0.995755309,1,0
SugarAdsali,51624,0.700892998,0.999321647,1,0
SugarAdsali,51625,0.623407636,0.999954022,1,0
SugarAdsali,51627,0.61664774,0.993410106,1,0
SugarAdsali,51700,0.485050332,0.973174144,1,0
SugarAdsali,51719,0.70964152,0.994777668,1,0
SugarAdsali,51724,0.707755345,0.99679708,1,0
SugarAdsali,51727,0.714160621,0.988309565,1,0
SugarAdsali,51800,0.117013129,0.853418074,1,0
SugarAdsali,51817,0.136511842,0.801425137,1,0
SugarAdsali,51821,0.110687136,0.955057931,1,0
SugarAdsali,51832,0.008820709,0.911259906,1,0
SugarAdsali,51849,-0.800273038,0.952841872,1,0
SugarAdsali,51900,0.743060298,0.999780506,1,0
SugarAdsali,51915,0.279970706,0.999940808,1,0
SugarAdsali,51933,0.861718412,1,1,0
SugarAdsali,52000,-0.053710332,0.856838362,1,0
SugarAdsali,52004,-0.238386948,0.957723756,1,0
SugarAdsali,52017,0.18148557,0.922583583,1,0
SugarAdsali,52021,-0.17294109,0.900671112,1,0
SugarAdsali,52035,0.585369369,0.973060633,1,0
SugarAdsali,52100,0.430161947,0.984703575,1,0
SugarAdsali,52101,0.607382638,0.999572135,1,0
SugarAdsali,52104,0.156876211,0.986138781,1,0
SugarAdsali,52121,0.189609597,0.998193058,1,0
SugarAdsali,52135,0.468828259,0.988060728,1,0
SugarAdsali,52145,0.980511072,1,1,0
SugarAdsali,52200,0.383098588,0.881929708,1,0
SugarAdsali,52221,-0.425216219,0.882479494,1,0
SugarAdsali,52249,-0.629803193,0.912445349,1,0
SugarAdsali,52300,0.578666353,0.989095845,1,0
SugarAdsali,52301,0.487538976,0.995296131,1,0
SugarAdsali,52304,0.166961241,0.994315891,1,0
SugarAdsali,52309,0.428215489,0.991859961,1,0
SugarAdsali,52319,0.776024453,0.991764114,1,0
SugarAdsali,52400,0.837187792,1,1,0
SugarAdsali,52401,0.852423284,1,1,0
SugarAdsali,52420,0.897550059,1,1,0
SugarAdsali,52448,0.949361953,1,1,0
SugarAdsali,52500,0.862506625,1,1,0
SugarAdsali,52520,0.804895234,1,1,0
SugarAdsali,52531,0.963314562,1,1,0
SugarAdsali,52545,0.979187211,1,1,0
SugarAdsali,52600,0.195436299,0.998155318,1,0
SugarAdsali,52615,0.086057822,0.991137399,1,0
SugarAdsali,52632,0.03286445,0.96695709,1,0
SugarAdsali,52635,0.036127029,0.996113238,1,0
SugarAdsali,52649,0.116807978,1,1,0
SugarAdsali,52700,0.679702697,0.946740558,1,0
SugarAdsali,52709,0.451005573,0.978320808,1,0
SugarAdsali,52714,-0.070663506,0.914698788,1,0
SugarAdsali,52724,0.735109865,0.981954434,1,0
SugarAdsali,52727,0.570653794,0.964904765,1,0
SugarAdsali,52800,0.845925433,1,1,0
SugarAdsali,52815,0.862723986,1,1,0
SugarAdsali,62900,0.70403655,1,1,0
SugarAdsali,62930,0.562464189,0.976387933,1,0
SugarAdsali,62944,0.50628538,0.989674874,1,0
SugarAdsali,63000,-0.230282381,0.90961391,1,0
SugarAdsali,63023,-0.12247636,0.930801445,1,0
SugarAdsali,63038,0.180107068,0.962881723,1,0
SugarAdsali,63100,0.831980886,1,1,0
SugarAdsali,63200,0.99330612,1,1,0
SugarAdsali,63349,0.03438531,1,1,0
SugarAdsali,73300,-0.017577275,0.9882151,1,0
SugarAdsali,73312,0.057699067,0.999419435,1,0
SugarAdsali,73333,0.228444596,0.992780723,1,0
SugarAdsali,73400,0.18811887,0.959783991,1,0
SugarAdsali,73447,0.109462664,0.977418484,1,0
SugarAdsali,73500,0.241783369,0.97487237,1,0
SugarAdsali,73512,0.398924335,0.987388702,1,0
SugarAdsali,73533,0.235762546,0.916408985,1,0
SugarAdsali,73549,0.213426796,0.899829644,1,0
SugarAdsali,83600,0.486683735,0.798785846,1,0
SugarAdsali,83700,0.264804151,0.921939345,1,0
SugarAdsali,83703,-0.006623136,0.936410283,1,0
SugarAdsali,83706,-0.133545753,0.938916064,1,0
SugarAdsali,83716,0.098259763,0.945198682,1,0
SugarAdsali,83734,0.012646603,0.987888702,1,0
SugarAdsali,83800,-0.143158125,0.835453125,1,0
SugarAdsali,83811,-0.045607075,0.865232181,1,0
SugarAdsali,83826,-0.078001087,0.891589983,1,0
SugarAdsali,83828,0.018756833,0.927326759,1,0
SugarAdsali,83841,0.115440736,0.950169618,1,0
SugarAdsali,83900,0.454869901,0.790371972,1,0
SugarAdsali,83902,-0.504385969,0.837591949,1,0
SugarAdsali,83903,-0.274431589,0.977563629,1,0
SugarAdsali,83906,-0.252890103,0.945572833,1,0
SugarAdsali,83942,-0.347032785,0.886679095,1,0
SugarAdsali,83946,-0.540690727,0.764639132,1,0
SugarAdsali,84000,0.2274274,0.907064527,1,0
SugarAdsali,84033,0.098158408,0.981292229,1,0
SugarAdsali,84046,-0.525210813,0.804675044,1,0
SugarAdsali,84049,-0.318651891,0.934346801,1,0
SugarAdsali,84100,-0.076509708,0.974624916,1,0
SugarAdsali,84123,0.154646065,0.99231738,1,0
SugarAdsali,84133,-0.34098078,0.957019795,1,0
SugarAdsali,84146,-0.30177097,0.931505349,1,0
SugarAdsali,84200,0.182781321,0.843465376,1,0
SugarAdsali,84202,0.367920229,0.886435486,1,0
SugarAdsali,84205,-0.378877322,0.892063189,1,0
SugarAdsali,84206,-0.209531251,0.936895538,1,0
SugarAdsali,84216,0.468965016,0.951137205,1,0
SugarAdsali,84246,-0.400338442,0.82316564,1,0
SugarAdsali,84300,0.532282038,0.833538588,1,0
