,0
776,5.649478
777,5.4667377
778,5.542763
779,6.0295944
780,6.3694353
781,7.691505
782,9.561114
783,10.336366
784,13.227691
785,23.892303
786,29.981348
787,29.336458
788,24.802422
789,20.083595
790,16.531902
791,13.947633
792,10.919982
793,9.509105
794,8.39176
795,7.9141936
796,8.6706
797,11.20383
798,13.959582
799,24.938145
800,49.968895
801,63.326473
802,63.302277
803,60.742657
804,62.706646
805,64.03969
806,48.655018
807,34.67047
808,25.677029
809,21.618069
810,22.860989
811,27.64653
812,29.764662
813,25.78564
814,20.790709
815,17.24057
816,15.298666
817,16.047346
818,20.558792
819,24.39934
820,24.409151
821,20.49114
822,16.55634
823,12.935068
824,11.917012
825,11.713117
826,13.8653555
827,16.19294
828,33.068733
829,52.059452
830,40.310417
831,27.405224
832,20.085804
833,15.018786
834,12.1563
835,11.141886
836,10.093785
837,9.448851
838,8.5793295
839,7.841015
840,7.5268445
841,7.783753
842,7.1348968
843,6.598385
844,7.0216484
845,7.38387
846,10.688494
847,13.708336
848,13.412048
849,12.946241
850,10.885348
851,9.326675
852,7.8186626
853,7.5061812
854,5.8331165
855,7.1578293
856,7.909054
857,7.8831654
858,6.6322565
859,4.651339
860,2.4916334
861,3.686372
862,4.377909
863,4.4117537
864,4.322128
865,4.461917
866,4.400551
867,4.5397778
868,4.9944234
869,5.4551263
870,7.755467
871,17.029224
872,16.230967
873,14.617427
874,12.779342
875,10.36785
876,8.5900955
877,6.1791453
878,4.17327
879,5.1621556
880,5.3562207
881,5.2511215
882,4.4187994
883,5.1120687
884,4.245759
885,3.5723798
886,3.9114988
887,3.8662455
888,4.248438
889,4.24173
890,4.3516607
891,4.111143
892,4.2903996
893,4.5630183
894,5.1141
895,5.2874017
896,5.4812846
897,5.7801447
898,5.6338625
899,5.867264
900,3.5721602
901,5.1079946
902,4.934844
903,5.5804815
904,5.763342
905,6.044321
906,6.2535834
907,6.1874895
908,6.051948
909,6.0900097
910,6.1202393
911,5.9613876
912,5.8220086
913,6.1860447
914,4.546857
915,3.485959
916,3.449202
917,4.621174
918,4.395359
919,3.5636346
920,2.901409
921,4.097964
922,3.769619
923,4.441025
924,4.4653854
925,4.6150165
926,4.457079
927,4.999258
928,5.727607
929,6.1154947
930,5.699955
931,5.747197
932,5.427234
933,5.695876
934,5.402738
935,5.2650447
936,4.9661293
937,5.381352
938,5.174599
939,5.2105637
940,5.0424542
941,5.596943
942,5.0680375
943,5.367892
944,5.0027947
945,3.8420672
946,1.462074
947,0.9024723
948,2.4197004
949,3.9830327
950,4.0716004
951,3.8327243
952,3.7117906
953,3.3428316
954,4.1791015
955,4.481066
956,4.91745
957,4.6453547
958,5.2900004
959,5.0780764
960,4.1856685
961,4.9422646
962,5.5776563
963,5.1518993
964,5.4019856
965,5.058608
966,5.0908146
967,5.2716174
968,5.4790745
969,5.181362
970,5.2479377
971,5.2264776
972,5.2742786
973,5.037708
974,5.2189636
975,5.1763406
976,1.5368643
